WKT,Nombre,Descripción
"POINT (-75.57969539999999 6.2171745)",CI,Centro de integración
"POINT (-75.432705 6.0291789)",02,Creaciones latinas
"POINT (-75.3693569 6.150095899999999)",04,Opción Calificada
"POINT (-75.26764709999999 6.138652)",06,Sodecon Confecciones
"POINT (-75.4295337 6.0350586)",08,Línea modelo
"POINT (-75.2622344 6.139473499999999)",13,ALIANZA CONAZZTEX
"POINT (-75.337484 6.088041)",19,MANANTIALES
"POINT (-75.2598529 6.136884299999999)",24,ECOOELSA
"POINT (-75.4336924 6.0293204)",31,CONF CREARTEX 
"POINT (-75.3390964 6.167163599999999)",32,MANUFAC. ZULUAGA
"POINT (-75.3399265 6.1740889)",36,Incoomar
"POINT (-75.267697 6.13858)",39,CONFECCIONES ILUAMA
"POINT (-75.33459119999999 6.169877899999999)",40,Grupo cenit
"POINT (-75.35350129999999 6.1796827)",42,coopimar
"POINT (-75.2680876 6.139514699999999)",46,CAVITEX
"POINT (-75.4317654 6.023090499999999)",48,SUEÑOS DALEY
"POINT (-75.428738 6.037051)",49,Angelus
"POINT (-75.43997379999999 6.0211736)",56,MPM
"POINT (-75.26589 6.136143)",65,TENDENCIA Y MODA
"POINT (-75.26155419999999 6.1374929)",69,COOMUNELSA
"POINT (-75.4262825 6.0318998)",70,CONSUATEX
"POINT (-75.3671169 6.1644366)",88,INVERSIONES CNT
"POINT (-75.3386841 6.169357199999999)",A4,CONFECC COOL FASHION
"POINT (-75.37576399999999 6.1515135)",A5,CONFECCIONES LILIMAR
"POINT (-75.3690912 6.1652045)",A6,WAKANER RIONEGRO
"POINT (-75.3372735 6.1688305)",B3,MODATEX
"POINT (-75.3371513 6.168939399999999)",B7,CREATEX FORMAS INTIMAS
"POINT (-75.3378142 6.1757136)",D2,IMATEX
"POINT (-75.26021639999999 6.1377671)",D4,IMAGEN TEXTIL J&S
"POINT (-75.268945 6.1382195)",D7,orientex
"POINT (-75.2684921 6.1395646)",P86,sarai
"POINT (-75.3377 6.170282)",RE,Renacer
"POINT (-75.582095 6.199515)",CD,Centro de Distribución
